"time_period","location","month","year","population","minimum_temperature","maximum_temperature","specific_surface_humidity","wind_speed","nino34_anomaly","periurban_landcover","urban_landcover"
"2020-01","Province_A",1,2020,840000,23.18,32.77,0.0222,4.37,-0.446,0.22,0.12
"2020-02","Province_A",2,2020,840000,18.58,27.93,0.01959,4.78,-0.548,0.22,0.12
"2020-03","Province_A",3,2020,840000,16.36,24.43,0.01648,4.24,-0.382,0.22,0.12
"2020-04","Province_A",4,2020,840000,18.78,28.15,0.01278,3.39,0.159,0.22,0.12
"2020-05","Province_A",5,2020,840000,23.27,29.76,0.01537,2.23,-0.368,0.22,0.12
"2020-06","Province_A",6,2020,840000,26.49,36.01,0.02011,2.67,-0.409,0.22,0.12
"2020-01","Province_B",1,2020,1260000,23.58,32.36,0.02166,5.25,-0.049,0.16,0.08
"2020-02","Province_B",2,2020,1260000,19.47,27.87,0.02101,4.52,-0.349,0.16,0.08
"2020-03","Province_B",3,2020,1260000,17.51,25.74,0.01412,4.32,-0.315,0.16,0.08
"2020-04","Province_B",4,2020,1260000,19.82,27.2,0.01422,3.5,0.001,0.16,0.08
"2020-05","Province_B",5,2020,1260000,24.85,33.09,0.01693,2.74,-0.57,0.16,0.08
"2020-06","Province_B",6,2020,1260000,25.38,34.51,0.01966,1.69,-0.497,0.16,0.08
"2020-01","Province_C",1,2020,630000,23.83,32.16,0.02115,4.38,-0.099,0.28,0.15
"2020-02","Province_C",2,2020,630000,19.1,26.92,0.01907,5,0.472,0.28,0.15
"2020-03","Province_C",3,2020,630000,17.64,25.43,0.01718,3.95,0.246,0.28,0.15
"2020-04","Province_C",4,2020,630000,19.22,28.54,0.01414,3.5,-0.573,0.28,0.15
"2020-05","Province_C",5,2020,630000,23.87,32.09,0.01756,2.71,-0.34,0.28,0.15
"2020-06","Province_C",6,2020,630000,25.29,33.01,0.0204,2.14,-0.142,0.28,0.15
"2020-01","Province_D",1,2020,945000,24.63,30.77,0.02297,5.32,-0.05,0.18,0.07
"2020-02","Province_D",2,2020,945000,18.53,27.38,0.02038,4.89,-0.443,0.18,0.07
"2020-03","Province_D",3,2020,945000,18.13,23.11,0.01533,4.22,0.044,0.18,0.07
"2020-04","Province_D",4,2020,945000,18.69,25.73,0.0132,4.15,-0.6,0.18,0.07
"2020-05","Province_D",5,2020,945000,23.85,32.79,0.0168,1.75,-0.297,0.18,0.07
"2020-06","Province_D",6,2020,945000,26.14,35.31,0.02145,2.6,-0.431,0.18,0.07
"2020-01","Province_E",1,2020,525000,23.86,31.48,0.02361,5.1,-0.076,0.2,0.1
"2020-02","Province_E",2,2020,525000,17.77,26.74,0.0209,4.82,-0.332,0.2,0.1
"2020-03","Province_E",3,2020,525000,17.13,26.12,0.01482,4.05,-0.161,0.2,0.1
"2020-04","Province_E",4,2020,525000,18.86,28.13,0.01543,3.77,-0.335,0.2,0.1
"2020-05","Province_E",5,2020,525000,23.19,32.75,0.0158,2.56,-0.489,0.2,0.1
"2020-06","Province_E",6,2020,525000,25.05,36.54,0.01976,1.98,-0.348,0.2,0.1
