"time_period","location","population","disease_cases","minimum_temperature","maximum_temperature","specific_surface_humidity","wind_speed","nino34_anomaly","periurban_landcover","urban_landcover"
"2017-01","Province_A",828000,126,23.57,32.13,0.02148,4.74,-1.156,0.22,0.12
"2017-02","Province_A",828000,33,19.52,27.07,0.02068,4.87,-0.763,0.22,0.12
"2017-03","Province_A",828000,22,17.88,24.29,0.01594,4.43,-0.613,0.22,0.12
"2017-04","Province_A",828000,69,19.6,26.96,0.01463,3.85,-0.563,0.22,0.12
"2017-05","Province_A",828000,97,23.49,33.99,0.01734,1.93,-0.783,0.22,0.12
"2017-06","Province_A",828000,44,26.92,34.95,0.02001,1.55,-0.611,0.22,0.12
"2017-07","Province_A",828000,90,24.54,32.61,0.02302,2.57,-0.277,0.22,0.12
"2017-08","Province_A",828000,26,19.69,27.72,0.01881,2.62,-0.924,0.22,0.12
"2017-09","Province_A",828000,25,17.19,26.11,0.01528,2.92,-0.635,0.22,0.12
"2017-10","Province_A",828000,16,18.75,27.04,0.01552,3.79,-0.21,0.22,0.12
"2017-11","Province_A",828000,18,24.84,31.61,0.01638,4.62,-0.34,0.22,0.12
"2017-12","Province_A",828000,42,25.52,36.51,0.01795,3.73,0.307,0.22,0.12
"2018-01","Province_A",832000,96,25.5,32.1,0.02064,5.44,0.202,0.22,0.12
"2018-02","Province_A",832000,111,20.48,26.85,0.0198,4.61,0.126,0.22,0.12
"2018-03","Province_A",832000,114,16.81,23.89,0.01687,4.34,-0.245,0.22,0.12
"2018-04","Province_A",832000,98,18.43,26.34,0.0139,3.38,0.314,0.22,0.12
"2018-05","Province_A",832000,94,23.18,31.98,0.01662,3.1,0.305,0.22,0.12
"2018-06","Province_A",832000,105,26.21,35.56,0.02096,2.06,0.456,0.22,0.12
"2018-07","Province_A",832000,40,23.55,33.5,0.02367,2.21,0.211,0.22,0.12
"2018-08","Province_A",832000,26,18.97,28.14,0.02006,2.04,0.784,0.22,0.12
"2018-09","Province_A",832000,38,16.24,24.67,0.01595,2.31,0.381,0.22,0.12
"2018-10","Province_A",832000,58,19.21,27.55,0.01225,3.98,0.671,0.22,0.12
"2018-11","Province_A",832000,55,23.12,31.87,0.0161,4.55,0.887,0.22,0.12
"2018-12","Province_A",832000,30,24.67,34.35,0.01943,5.49,0.558,0.22,0.12
"2019-01","Province_A",836000,87,23.45,33.3,0.02103,5.03,0.975,0.22,0.12
"2019-02","Province_A",836000,59,19.99,26.59,0.01982,5.25,0.398,0.22,0.12
"2019-03","Province_A",836000,139,16.54,26.76,0.01701,5.04,-0.07,0.22,0.12
"2019-04","Province_A",836000,177,19.74,27.42,0.01201,3.39,0.879,0.22,0.12
"2019-05","Province_A",836000,186,22.46,32.69,0.01557,2.22,0.945,0.22,0.12
"2019-06","Province_A",836000,62,25.96,34.34,0.02012,2.11,0.549,0.22,0.12
"2019-07","Province_A",836000,225,24.17,31.98,0.02111,1.91,0.717,0.22,0.12
"2019-08","Province_A",836000,60,19.49,26.31,0.02033,2.26,0.14,0.22,0.12
"2019-09","Province_A",836000,90,17.08,24.84,0.01641,3.43,0.362,0.22,0.12
"2019-10","Province_A",836000,42,18.74,27.88,0.01397,3.37,-0.276,0.22,0.12
"2019-11","Province_A",836000,74,23.07,32.79,0.01353,4.4,0.561,0.22,0.12
"2019-12","Province_A",836000,33,25.18,34.3,0.02257,4.71,0.662,0.22,0.12
"2017-01","Province_B",1242000,88,23.98,33.92,0.02188,4.53,-0.473,0.16,0.08
"2017-02","Province_B",1242000,26,20.65,27.36,0.02007,5.05,-0.842,0.16,0.08
"2017-03","Province_B",1242000,21,16.87,24.68,0.01674,4.43,-1.019,0.16,0.08
"2017-04","Province_B",1242000,27,19.12,27.2,0.01475,3.67,-0.831,0.16,0.08
"2017-05","Province_B",1242000,21,24.87,32.56,0.01574,2.93,-0.963,0.16,0.08
"2017-06","Province_B",1242000,95,26.72,35.09,0.01969,2.42,-0.447,0.16,0.08
"2017-07","Province_B",1242000,75,22.43,32.76,0.02207,2.26,-0.23,0.16,0.08
"2017-08","Province_B",1242000,63,19.43,26.83,0.02106,1.41,0.151,0.16,0.08
"2017-09","Province_B",1242000,22,18.32,24.24,0.01643,2.69,-0.29,0.16,0.08
"2017-10","Province_B",1242000,41,20.38,28.58,0.01543,3.54,-0.569,0.16,0.08
"2017-11","Province_B",1242000,71,24.09,32.01,0.01599,4.54,0.1,0.16,0.08
"2017-12","Province_B",1242000,96,26.58,35.27,0.02113,4.32,0.167,0.16,0.08
"2018-01","Province_B",1248000,70,22.79,32.45,0.02288,4.8,-0.071,0.16,0.08
"2018-02","Province_B",1248000,86,19.49,26.64,0.02061,4.37,-0.363,0.16,0.08
"2018-03","Province_B",1248000,68,16.24,25.53,0.01641,4.67,0.435,0.16,0.08
"2018-04","Province_B",1248000,62,18.88,27.66,0.01372,4.01,0.645,0.16,0.08
"2018-05","Province_B",1248000,106,24.5,33.76,0.01589,3.07,0.311,0.16,0.08
"2018-06","Province_B",1248000,88,25.09,35.11,0.02023,1.71,0.648,0.16,0.08
"2018-07","Province_B",1248000,71,23.96,32.2,0.02205,2.18,0.483,0.16,0.08
"2018-08","Province_B",1248000,96,19.59,27.75,0.02094,2.66,0.839,0.16,0.08
"2018-09","Province_B",1248000,20,17.04,23.93,0.01589,2.82,0.658,0.16,0.08
"2018-10","Province_B",1248000,151,20.71,26.75,0.01393,3.27,0.636,0.16,0.08
"2018-11","Province_B",1248000,158,22.93,32.96,0.01552,3.82,0.806,0.16,0.08
"2018-12","Province_B",1248000,141,26.48,34.7,0.01986,4.53,0.708,0.16,0.08
"2019-01","Province_B",1254000,102,23.68,32.44,0.02193,5.29,0.623,0.16,0.08
"2019-02","Province_B",1254000,157,19.04,27.4,0.01769,4.63,0.698,0.16,0.08
"2019-03","Province_B",1254000,60,17.37,24.41,0.01464,4.34,0.77,0.16,0.08
"2019-04","Province_B",1254000,158,18.43,25.68,0.01393,4.02,0.801,0.16,0.08
"2019-05","Province_B",1254000,147,22.7,32.81,0.01573,2.98,1.153,0.16,0.08
"2019-06","Province_B",1254000,30,25.6,35.69,0.0188,2.75,0.227,0.16,0.08
"2019-07","Province_B",1254000,124,25.15,31.34,0.02001,1.32,0.506,0.16,0.08
"2019-08","Province_B",1254000,47,19.29,28.83,0.01965,2.09,0.676,0.16,0.08
"2019-09","Province_B",1254000,178,17.27,25.35,0.01665,2.78,0.929,0.16,0.08
"2019-10","Province_B",1254000,60,19.1,28.71,0.01577,3.73,0.434,0.16,0.08
"2019-11","Province_B",1254000,111,24.13,31.64,0.01596,3.78,0.203,0.16,0.08
"2019-12","Province_B",1254000,159,25.24,35.15,0.02149,5.12,0.012,0.16,0.08
"2017-01","Province_C",621000,33,24.85,32.71,0.02221,4.55,-0.82,0.28,0.15
"2017-02","Province_C",621000,51,18.98,26.03,0.02123,4.85,-0.24,0.28,0.15
"2017-03","Province_C",621000,33,17.02,25.78,0.0158,4.5,-0.574,0.28,0.15
"2017-04","Province_C",621000,12,19.55,25.55,0.01308,3.85,-0.814,0.28,0.15
"2017-05","Province_C",621000,10,23.4,32.05,0.01617,3.08,-1.043,0.28,0.15
"2017-06","Province_C",621000,94,27.57,34.29,0.02071,1.81,-0.946,0.28,0.15
"2017-07","Province_C",621000,31,22.61,31.38,0.02428,1.47,-0.801,0.28,0.15
"2017-08","Province_C",621000,34,20.86,26.53,0.01954,1.4,-0.123,0.28,0.15
"2017-09","Province_C",621000,55,16.72,25.23,0.01567,2.95,-0.457,0.28,0.15
"2017-10","Province_C",621000,93,20.34,27.39,0.01488,3.83,-0.533,0.28,0.15
"2017-11","Province_C",621000,52,22.15,32.23,0.01728,4.38,0.031,0.28,0.15
"2017-12","Province_C",621000,72,26.76,32.91,0.01934,4.38,0.299,0.28,0.15
"2018-01","Province_C",624000,39,24.45,31.31,0.02266,5.63,-0.208,0.28,0.15
"2018-02","Province_C",624000,37,18.23,27.38,0.01943,4.65,-0.029,0.28,0.15
"2018-03","Province_C",624000,36,16.39,24.21,0.01504,4.96,0.311,0.28,0.15
"2018-04","Province_C",624000,43,19.4,26.78,0.01462,3.72,0.305,0.28,0.15
"2018-05","Province_C",624000,125,24.67,33.44,0.01611,3.23,0.522,0.28,0.15
